f	power	dB
58.600001	0.000000	-80.946830
58.700001	0.000000	-81.026486
58.800001	0.000000	-81.105906
58.900001	0.000000	-81.185093
59.000001	0.000000	-81.264046
59.100001	0.000000	-81.342769
59.200001	0.000000	-81.421261
59.300001	0.000000	-81.499526
59.400001	0.000000	-81.577564
59.500001	0.000000	-81.655376
59.600001	0.000000	-81.732964
59.700001	0.000000	-81.810331
59.800001	0.000000	-81.887476
59.900001	0.000000	-81.964401
60.000001	0.000000	-82.041108
60.100001	0.000000	-82.117598
60.200001	0.000000	-82.193873
60.300001	0.000000	-82.269933
60.400001	0.000000	-82.345780
60.500001	0.000000	-82.421416
60.600001	0.000000	-82.496842
60.700001	0.000000	-82.572058
60.800001	0.000000	-82.647067
60.900001	0.000000	-82.721869
61.000001	0.000000	-82.796466
61.100001	0.000000	-82.870859
61.200001	0.000000	-82.945049
61.300001	0.000000	-83.019038
61.400001	0.000000	-83.092826
61.500001	0.000000	-83.166415
61.600001	0.000000	-83.239806
61.700001	0.000000	-83.313001
61.800001	0.000000	-83.385999
61.900001	0.000000	-83.458803
62.000001	0.000000	-83.531414
62.100001	0.000000	-83.603832
62.200001	0.000000	-83.676060
62.300001	0.000000	-83.748097
62.400001	0.000000	-83.819945
62.500001	0.000000	-83.891605
62.600001	0.000000	-83.963079
62.700001	0.000000	-84.034367
62.800001	0.000000	-84.105470
62.900001	0.000000	-84.176390
63.000001	0.000000	-84.247127
63.100001	0.000000	-84.317682
63.200001	0.000000	-84.388057
63.300001	0.000000	-84.458252
63.400001	0.000000	-84.528269
63.500001	0.000000	-84.598108
63.600001	0.000000	-84.667771
63.700001	0.000000	-84.737258
63.800001	0.000000	-84.806571
63.900001	0.000000	-84.875709
64.000001	0.000000	-84.944675
64.100001	0.000000	-85.013470
64.200001	0.000000	-85.082093
64.300001	0.000000	-85.150547
64.400001	0.000000	-85.218831
64.500001	0.000000	-85.286948
64.600001	0.000000	-85.354897
64.700001	0.000000	-85.422680
64.800001	0.000000	-85.490298
64.900001	0.000000	-85.557751
65.000001	0.000000	-85.625040
65.100001	0.000000	-85.692166
65.200001	0.000000	-85.759131
65.300001	0.000000	-85.825934
65.400001	0.000000	-85.892578
65.500001	0.000000	-85.959061
65.600001	0.000000	-86.025387
65.700001	0.000000	-86.091554
65.800001	0.000000	-86.157565
65.900001	0.000000	-86.223419
66.000001	0.000000	-86.289118
66.100001	0.000000	-86.354662
66.200001	0.000000	-86.420053
66.300001	0.000000	-86.485291
66.400001	0.000000	-86.550376
66.500001	0.000000	-86.615310
66.600001	0.000000	-86.680094
66.700001	0.000000	-86.744727
66.800001	0.000000	-86.809211
66.900001	0.000000	-86.873547
67.000001	0.000000	-86.937735
67.100001	0.000000	-87.001777
67.200001	0.000000	-87.065672
67.300001	0.000000	-87.129421
67.400001	0.000000	-87.193026
67.500001	0.000000	-87.256486
67.600001	0.000000	-87.319804
67.700001	0.000000	-87.382978
67.800001	0.000000	-87.446011
67.900001	0.000000	-87.508902
68.000001	0.000000	-87.571653
68.100001	0.000000	-87.634264
68.200001	0.000000	-87.696735
68.300001	0.000000	-87.759068
68.400001	0.000000	-87.821263
68.500001	0.000000	-87.883321
68.600001	0.000000	-87.945242
